p,chance,max_cluster
0.000000,0.000000,0.000000
0.010000,0.000000,1.058300
0.020000,0.000000,1.276700
0.030000,0.000000,1.524900
0.040000,0.000000,1.791200
0.050000,0.000000,2.048800
0.060000,0.000000,2.289100
0.070000,0.000000,2.531900
0.080000,0.000000,2.739200
0.090000,0.000000,2.975300
0.100000,0.000000,3.212900
0.110000,0.000000,3.502300
0.120000,0.000000,3.756200
0.130000,0.000000,4.035900
0.140000,0.000000,4.318400
0.150000,0.000000,4.609400
0.160000,0.000000,4.903100
0.170000,0.000000,5.238100
0.180000,0.000000,5.551800
0.190000,0.000000,5.942600
0.200000,0.000000,6.304700
0.210000,0.000000,6.670100
0.220000,0.000000,7.122900
0.230000,0.000000,7.586200
0.240000,0.000000,8.000200
0.250000,0.000000,8.524200
0.260000,0.000000,9.085700
0.270000,0.000000,9.632200
0.280000,0.000000,10.317400
0.290000,0.000000,10.894300
0.300000,0.000000,11.622200
0.310000,0.000000,12.502000
0.320000,0.000000,13.348400
0.330000,0.000000,14.223700
0.340000,0.000000,15.146200
0.350000,0.000000,16.151900
0.360000,0.000100,17.513300
0.370000,0.000000,18.832200
0.380000,0.000100,20.089800
0.390000,0.000400,21.725300
0.400000,0.000800,23.206000
0.410000,0.001700,25.127900
0.420000,0.002200,27.046600
0.430000,0.005700,29.379700
0.440000,0.007900,31.818600
0.450000,0.012800,33.992700
0.460000,0.019300,36.784000
0.470000,0.028500,39.371200
0.480000,0.044500,42.526500
0.490000,0.064700,45.365900
0.500000,0.091200,48.323500
0.510000,0.121000,51.154300
0.520000,0.168300,53.116900
0.530000,0.219300,54.685400
0.540000,0.287700,55.431800
0.550000,0.358000,55.826700
0.560000,0.429200,55.745400
0.570000,0.517200,53.702200
0.580000,0.590300,51.989700
0.590000,0.666900,49.051800
0.600000,0.750800,45.225300
0.610000,0.802500,41.745700
0.620000,0.852700,37.961700
0.630000,0.905700,33.037700
0.640000,0.934400,28.892300
0.650000,0.955300,25.064800
0.660000,0.972900,21.784000
0.670000,0.984300,18.699400
0.680000,0.991200,15.373400
0.690000,0.995000,13.249400
0.700000,0.997900,10.727400
0.710000,0.999000,9.043900
0.720000,0.999500,7.642800
0.730000,0.999800,6.225500
0.740000,0.999900,4.971800
0.750000,1.000000,4.307400
0.760000,1.000000,3.571900
0.770000,1.000000,2.865200
0.780000,1.000000,2.465600
0.790000,1.000000,2.051900
0.800000,1.000000,1.719200
0.810000,1.000000,1.464000
0.820000,1.000000,1.235200
0.830000,1.000000,1.018000
0.840000,1.000000,0.758200
0.850000,1.000000,0.677100
0.860000,1.000000,0.540900
0.870000,1.000000,0.415700
0.880000,1.000000,0.310400
0.890000,1.000000,0.244200
0.900000,1.000000,0.190000
0.910000,1.000000,0.142900
0.920000,1.000000,0.098200
0.930000,1.000000,0.062300
0.940000,1.000000,0.035300
0.950000,1.000000,0.025800
0.960000,1.000000,0.013000
0.970000,1.000000,0.007000
0.980000,1.000000,0.002400
0.990000,1.000000,0.000600
